Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Max Qty (product.metafields.custom.max_qty),Alamat Apotek (product.metafields.vendor_info.address),Nama Apoteker (product.metafields.vendor_info.apoteker),Waktu Praktik (product.metafields.vendor_info.practice_hours),Jadwal Toko (product.metafields.vendor_info.schedule),Nomor SIA (product.metafields.vendor_info.sia),Nomor SIPA (product.metafields.vendor_info.sipa),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
adem-sari-sachet-1,Adem Sari Sachet,"<p>Dus, 5 Sachet @ 7 Gram</p><p>Deskripsi: ADEM SARI Sari Enesis adalah minuman penyegar yang mengandung Ekstrak citrus aurantifolia, ekstrak alyxia stellata ret cortex, ekstrak cinamommum burnanni BI cortex, vitamin C, aspartam, sukrosa, Vitamin yang berkhasiat untuk membantu meredakan gejala panas dalam seperti tenggorokan kering, sariawan dan bibir pecahpecah</p><p>Komposisi: Ekstrak citrus aurantifolia 350 mg, ekstrak alyxia stellata ret cortex 1,05 g, ekstrak cinamommum burnanni BI cortex 11 mg, vitamin C 50 mg, aspartam 35 mg, sukrosa 7 g</p><p>Golongan Obat: OBAT TRADISIONAL</p><p>Bentuk Sediaan: SERBUK</p><p>NIE:TR232016981</p><p>Exp Date:12/2026</p>",Inofarma,,"","mqty:0, Vitamin & Suplemen",true,Title,Default Title,,,,,,,,ID100217-2,7.0,shopify,deny,manual,16100.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID100217-2_22082025_25afdfa2-2da4-4f58-acde-0e449bd91c4e.jpg?v=1760353610,1,Adem Sari,false,"Adem Sari Sachet | Adem Sari, Sariawan, Panas dalam","ADEM SARI Sari Enesis  minuman penyegar yang mengandung Ekstrak citrus aurantifolia, ekstrak alyxia stellata ret cortex, ekstrak cinamommum burnanni BI cortex, vitamin C, aspartam, sukrosa, Vitamin yang berkhasiat untuk membantu meredakan gejala panas dalam seperti tenggorokan kering, sariawan dan bibir pecahpecah",,,,,,,,,g,,,active
bufect-suspensi,Bufect Suspensi,"<p>Dus, 1 Botol Plastik @ 60 Ml</p><p>Deskripsi: BUFECT Sanbe SUSPENSI merupakan obat yang mengandung ibuprofen yang berfungsi untuk membantu meredakan nyeri ringan hingga sedang dan menurunkan demam.</p><p>Komposisi: Ibuprofen 100 mg /  5 ml</p><p>Golongan Obat: BLUE</p><p>Bentuk Sediaan: SUSPENSI</p><p>NIE:DTL9922231133A1</p><p>Exp Date:06/2027</p>",Inofarma,Uncategorized,"","Kesehatan, mqty:2",true,Title,Default Title,,,,,,,,ID102759-1,60.0,shopify,deny,manual,21800.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID102759-1_19082025_ddf78b0a-21b3-4cd0-8593-aabbe165113b.jpg?v=1760338257,1,Bufect Suspensi,false,Bufect Suspensi,BUFECT Sanbe SUSPENSI merupakan obat yang mengandung ibuprofen yang berfungsi untuk membantu meredakan nyeri ringan hingga sedang dan menurunkan demam.,,,,,,,,,g,,,active
obh-combi-anak-batuk-plus-flu-rasa-apel-sirup,Obh Combi Anak Batuk Plus Flu Rasa Apel Sirup,"<p>Dus, 1 Botol Plastik @ 60 Ml</p><p>Deskripsi: OBH COMBI ANAK BATUK PLUS FLU RASA APEL Combiphar SIRUP merupakan obat yang mengandung succus liquiritiae, ammonium chloride, paracetamol, chlorphenamine maleate, pseudoephedrine hydrochloride yang berfungsi untuk mengatasi gejala flu pada anak yang disertai batuk, seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin.</p><p>Komposisi: Succus Liquiritiae 100 mg, Paracetamol 120 mg, Ammonium Chloride 50 mg, Pseudoephedrine HCL 7.5 mg, Chlorpheniramine Maleate 1.0 mg</p><p>Golongan Obat: BLUE</p><p>Bentuk Sediaan: SIRUP</p><p>NIE:DTL0904131137A1</p><p>Exp Date:08/2027</p>",Inofarma,,"","Kesehatan, mqty:2",true,Title,Default Title,,,,,,,,ID115135-1,60.0,shopify,deny,manual,18700.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID115135-1_03092025_482b47a4-86a4-43c2-9cae-1107e6558026.jpg?v=1760338256,1,Obh Combi Anak Batuk Plus Flu Rasa Apel Sirup,false,Obh Combi Anak Batuk Plus Flu Rasa Apel Sirup,"OBH COMBI ANAK BATUK PLUS FLU RASA APEL Combiphar SIRUP merupakan obat yang mengandung succus liquiritiae, ammonium chloride, paracetamol, chlorphenamine maleate, pseudoephedrine hydrochloride yang berfungsi untuk mengatasi gejala flu pada anak yang disertai batuk, seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin.</p>",,,,,,,,,g,,,active
maltofer-sirup,Maltofer Sirup,"<p>Dus, 1 Botol @ 150 Ml</p><p>Deskripsi: MALTOFER Combiphar SIRUP merupakan obat yang mengandung ferric hydroxide polymaltose complex yang berfungsi untuk mengatasi dan mencegah defisiensi zat besi serta anemia akibat kekurangan zat besi.</p><p>Komposisi: Fe (III) hydroxide polymaltose complex setara dengan Fe elemental 50 mg</p><p>Golongan Obat: GREEN</p><p>Bentuk Sediaan: SIRUP</p><p>NIE:DBL0204128137A1</p><p>Exp Date:05/2030</p>",Inofarma,,"","mqty:1, Vitamin & Suplemen",true,Title,Default Title,,,,,,,,ID112319-1,150.0,shopify,deny,manual,88200.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID112319-1_02092025_5a26c345-dd20-4c3b-bdf2-6419ba0171d8.png?v=1760338256,1,Maltofer Sirup,false,Maltofer Sirup,MALTOFER Combiphar SIRUP merupakan obat yang mengandung ferric hydroxide polymaltose complex yang berfungsi untuk mengatasi dan mencegah defisiensi zat besi serta anemia akibat kekurangan zat besi.,,,,,,,,,g,,,active
alco-flu-plus-batuk-sirup,Alco Flu Plus Batuk Sirup,"<p>Dus, 1 Botol @ 100 Ml</p><p>Deskripsi: ALCO FLU PLUS BATUK Interbat SIRUP merupakan obat yang mengandung brompheniramine maleate, dextromethorphan hydrobromide, pseudoephedrine hydrochloride, yang berfungsi untuk membantu meredakan gejala flu, seperti demam, batuk, hidung tersumbat, serta gejala alergi lainnya.</p><p>Komposisi: Per 5 mL: Pseudoephedrine HCl 30 mg, Brompheniramine maleate 2 mg, Dextromethorphan HBr 10 mg</p><p>Golongan Obat: BLUE</p><p>Bentuk Sediaan: SIRUP</p><p>NIE:DTL0317619337A1</p><p>Exp Date:01/2027</p>",Inofarma,,"","Kesehatan, mqty:1",true,Title,Default Title,,,,,,,,ID100420-2,100.0,shopify,deny,manual,67400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID100420-2_22082025_fe217348-2417-4224-91e4-687c12d1e8c5.jpg?v=1760338255,1,Alco Flu Plus Batuk Sirup,false,Alco Flu Plus Batuk Sirup,"ALCO FLU PLUS BATUK Interbat SIRUP merupakan obat yang mengandung brompheniramine maleate, dextromethorphan hydrobromide, pseudoephedrine hydrochloride, yang berfungsi untuk membantu meredakan gejala flu, seperti demam, batuk, hidung tersumbat, serta gejala alergi lainnya.",,,,,,,,,g,,,active
zincpro-drops,Zincpro Drops,"<p>Dus, 1 Botol @ 15 Ml</p><p>Deskripsi: ZINCPRO Combiphar DROPS merupakan obat yang mengandung zinc sulfate yang berfungsi untuk mengatasi diare pada anak</p><p>Komposisi: Tiap ml drops mengandung : Zinc sulfat monohidrat 27.44 mg yang setara dengan Zinc elemental 10.00 mg</p><p>Golongan Obat: BLUE</p><p>Bentuk Sediaan: DROPS</p><p>NIE:DTL1104132436A1</p><p>Exp Date:06/2027</p>",Inofarma,,"","Kesehatan, mqty:1",true,Title,Default Title,,,,,,,,ID123054-1,15.0,shopify,deny,manual,35400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID123054-1_19092025_9e91668e-52a4-4534-8858-c15bfd633960.jpg?v=1760338254,1,Zincpro Drops,false,Zincpro Drops,ZINCPRO Combiphar DROPS merupakan obat yang mengandung zinc sulfate yang berfungsi untuk mengatasi diare pada anak,,,,,,,,,g,,,active
thromecon-gel-200-iu-g,Thromecon Gel 200 Iu/G,"<p>Dus @ Tube 20 G</p><p>Deskripsi: THROMECON Etercon GEL 200 IU/g merupakan obat yang mengandung heparin sodium yang berfungsi untuk mengatasi memar, lebam, dan pembengkakan akibat cedera, serta meredakan gejala flebitis superfisial dan varises.</p><p>Komposisi: Per gram : Heparin 200 IU</p><p>Golongan Obat: BLUE</p><p>Bentuk Sediaan: GEL</p><p>NIE:DTL1415717028A1</p><p>Exp Date:12/2026</p>",Inofarma,,"","Kesehatan, mqty:1",true,Title,Default Title,,,,,,,,ID120824-1,20.0,shopify,deny,manual,39900.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID120824-1_18092025_dd608505-0025-42c0-bfe4-14c80953ac76.png?v=1760338254,1,Thromecon Gel 200 Iu/G,false,Thromecon Gel 200 Iu/G,"THROMECON Etercon GEL 200 IU/g merupakan obat yang mengandung heparin sodium yang berfungsi untuk mengatasi memar, lebam, dan pembengkakan akibat cedera, serta meredakan gejala flebitis superfisial dan varises.",,,,,,,,,g,,,active
antimo-anak-rasa-strawberry-phapros-suspensi,Antimo Anak (Rasa Strawberry) Phapros Suspensi,"<p>Dus, 10 Sachet @ 5 Ml</p><p>Deskripsi: ANTIMO ANAK (RASA STRAWBERRY) Phapros SUSPENSI merupakan obat yang mengandung dimenhydrinate yang diindikasikan untuk mengatasi mual dan muntah, terutama pada perjalanan.</p><p>Komposisi: Dimenhidrinat 12.5 mg</p><p>Golongan Obat: BLUE</p><p>Bentuk Sediaan: SUSPENSI</p><p>NIE:DTL1119928733A1</p><p>Exp Date:-</p>",Inofarma,,"","Kesehatan, mqty:1",true,Title,Default Title,,,,,,,,ID101116-3,5.0,shopify,deny,manual,22700.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID101116-1_19082025_b3e1671c-633f-46a0-82c9-3b7d0536c73d.png?v=1760338253,1,Antimo Anak (Rasa Strawberry) Phapros Suspensi,false,Antimo Anak (Rasa Strawberry) Phapros Suspensi,"ANTIMO ANAK (RASA STRAWBERRY) Phapros SUSPENSI merupakan obat yang mengandung dimenhydrinate yang diindikasikan untuk mengatasi mual dan muntah, terutama pada perjalanan.</p>",,,,,,,,,g,,,active
alloris-sirup-5-mg,Alloris Sirup 5 Mg,"<p>Dus, 1 Botol @ 60 Ml</p><p>Deskripsi: ALLORIS Sanbe SIRUP 5 MG merupakan obat yang mengandung loratadine yang diindikasikan untuk membantu mengatasi gejala alergi.</p><p>Komposisi: Tiap 5 ml mengandung Loratadine 5 mg</p><p>Golongan Obat: BLUE</p><p>Bentuk Sediaan: CAIRAN ORAL</p><p>NIE:DTL0222235137A1</p><p>Exp Date:12/2026</p>",Inofarma,,"","Kesehatan, mqty:2",true,Title,Default Title,,,,,,,,ID100515-1,60.0,shopify,deny,manual,80000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID100515-1_22082025_d486d04b-1a66-4b99-9dec-8e3508aceb18.jpg?v=1760338252,1,Alloris Sirup 5 Mg,false,Alloris Sirup 5 Mg,ALLORIS Sanbe SIRUP 5 MG merupakan obat yang mengandung loratadine yang diindikasikan untuk membantu mengatasi gejala alergi.,,,,,,,,,g,,,active
infeld-gel,Infeld Gel,"<p>Dus, 1 Tube 15 G</p><p>Deskripsi: INFELD Interbat GEL adalah obat yang mengandung Piroxicam yang diindikasikan untuk terapi simtomatik pada rematoid artritis, osteoartritis, ankilosing spondilitis, gangguan muskuloskeletal akut dan gout akut.</p><p>Komposisi: Tiap gram gel mengandung Piroxicam 0.5% (5 mg).</p><p>Golongan Obat: BLUE</p><p>Bentuk Sediaan: GEL</p><p>NIE:DTL9917615928A1</p><p>Exp Date:06/2029</p>",Inofarma,,"","Kesehatan, mqty:1",true,Title,Default Title,,,,,,,,ID109326-2,15.0,shopify,deny,manual,58000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID109326-2_26082025_b3c42193-0136-49e1-b0d9-a812f88186a2.png?v=1760338252,1,Infeld Gel,false,Infeld Gel,"INFELD Interbat GEL  obat yang mengandung Piroxicam yang diindikasikan untuk terapi simtomatik pada rematoid artritis, osteoartritis, ankilosing spondilitis, gangguan muskuloskeletal akut dan gout akut.",,,,,,,,,g,,,active
obat-anak-sumang-cap-pedang-serbuk-150-mg,Obat Anak Sumang Cap Pedang Serbuk 150 Mg,"<p>Dus, 200 Sachet @ 425 Mg</p><p>Deskripsi: OBAT ANAK SUMANG CAP PEDANG Bromo Pharmaceutical SERBUK 150 MG adalah obat yang mengandung Parasetamol yang diindikasikan untuk mengurangi gejala demam khusus pada anak-anak</p><p>Komposisi: Tiap sachet mengandung Paracetamol 150 mg</p><p>Golongan Obat: GREEN</p><p>Bentuk Sediaan: SERBUK</p><p>NIE:DBL7203400323A1</p><p>Exp Date:05/2029</p>",Inofarma,,"","Kesehatan, mqty:1",true,Title,Default Title,,,,,,,,ID115056-1,0.5,shopify,deny,manual,79300.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID115056-1_03092025_3f1a7e94-8d33-4dc5-9b7b-1a0b05ef71c7.jpg?v=1760338251,1,Obat Anak Sumang Cap Pedang Serbuk 150 Mg,false,Obat Anak Sumang Cap Pedang Serbuk 150 Mg,OBAT ANAK SUMANG CAP PEDANG Bromo Pharmaceutical SERBUK 150 MG  obat yang mengandung Parasetamol yang diindikasikan untuk mengurangi gejala demam khusus pada anak-anak,,,,,,,,,g,,,active
kompolax-ifars-emulsi,Kompolax Ifars Emulsi,"<p>Dus, 1 Botol 60 Ml</p><p>Deskripsi: KOMPOLAX Ifars EMULSI adalah obat yang mengandung iquidum parafin, phenolphthalein, gliserin yang diindikasikan untuk mengatasi kesulitan buang air besar (konstipasi).</p><p>Komposisi: Per 5 mL : liquidum parafin 1,5 gram, phenolphthalein 75 mg, gliserin 1 gram</p><p>Golongan Obat: BLUE</p><p>Bentuk Sediaan: EMULSI</p><p>NIE:DTL7809204332A1</p><p>Exp Date:08/2028</p>",Inofarma,,"","Kesehatan, mqty:2",true,Title,Default Title,,,,,,,,ID110803-1,60.0,shopify,deny,manual,12300.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID110803-1_26082025_2d0f5f11-37ee-461b-8ed4-5fd53ced88eb.jpg?v=1760338250,1,Kompolax Ifars Emulsi,false,Kompolax Ifars Emulsi,"KOMPOLAX Ifars EMULSI  obat yang mengandung iquidum parafin, phenolphthalein, gliserin yang diindikasikan untuk mengatasi kesulitan buang air besar (konstipasi).</p>",,,,,,,,,g,,,active
febrinex-phapros-suspensi,Febrinex Phapros Suspensi,"<p>Dus, 1 Botol @ 60 Ml</p><p>Deskripsi: FEBRINEX Phapros SUSPENSI adalah sediaan obat yang diindikasikan untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertain batuk.</p><p>Komposisi: Per 5 mL : Paracetamol 130 mg, Dexchlorpheniramine maleate 1 mg, Thiocol 20 mg</p><p>Golongan Obat: BLUE</p><p>Bentuk Sediaan: SUSPENSI</p><p>NIE:DTL7219908133A1</p><p>Exp Date:05/2027</p>",Inofarma,,"","Kesehatan, mqty:2",true,Title,Default Title,,,,,,,,ID106247-1,60.0,shopify,deny,manual,19000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0957/0002/5634/files/ID106247-1_26082025_57fd6221-c930-4bb0-8613-0aa15c55676c.png?v=1760338250,1,Febrinex Phapros Suspensi,false,Febrinex Phapros Suspensi,"FEBRINEX Phapros SUSPENSI  sediaan obat yang diindikasikan untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertain batuk.",,,,,,,,,g,,,active
